name,id,points_awarded,day,type
dinkstar,353332394541187074,49.925925925925924,2024-01-02,ON TIME
bemno,369989877229682688,29.037037037037035,2024-01-02,ON TIME
jam4bears,390403088722165762,49.851851851851855,2024-01-02,ON TIME
kyboydigital,639283802308476970,29.962962962962962,2024-01-02,ON TIME
dinkstar,353332394541187074,9.407407407407407,2024-01-02,DURATION
bemno,369989877229682688,48.61111111111111,2024-01-02,DURATION
jam4bears,390403088722165762,50.0,2024-01-02,DURATION
kyboydigital,639283802308476970,49.24074074074074,2024-01-02,DURATION
dinkstar,353332394541187074,49.81481481481482,2024-01-03,ON TIME
bemno,369989877229682688,43.03703703703704,2024-01-03,ON TIME
jam4bears,390403088722165762,49.888888888888886,2024-01-03,ON TIME
kyboydigital,639283802308476970,50.0,2024-01-03,ON TIME
dinkstar,353332394541187074,50.0,2024-01-03,DURATION
bemno,369989877229682688,50.0,2024-01-03,DURATION
jam4bears,390403088722165762,50.0,2024-01-03,DURATION
kyboydigital,639283802308476970,50.0,2024-01-03,DURATION
dinkstar,353332394541187074,50.0,2024-01-04,ON TIME
jam4bears,390403088722165762,49.96296296296296,2024-01-04,ON TIME
dinkstar,353332394541187074,50.0,2024-01-04,DURATION
jam4bears,390403088722165762,50.0,2024-01-04,DURATION
dinkstar,353332394541187074,46.47448977777778,2024-01-05,ON TIME
bemno,369989877229682688,44.045561703703704,2024-01-05,ON TIME
jam4bears,390403088722165762,49.92731466666667,2024-01-05,ON TIME
dinkstar,353332394541187074,50.0,2024-01-05,DURATION
bemno,369989877229682688,50.0,2024-01-05,DURATION
jam4bears,390403088722165762,50.0,2024-01-05,DURATION
jam4bears,390403088722165762,49.97,2024-01-06,ON_TIME
shamupete,621938294422241301,49.92,2024-01-06,ON_TIME
jam4bears,390403088722165762,50.0,2024-01-06,DURATION
shamupete,621938294422241301,50.0,2024-01-06,DURATION
dinkstar,353332394541187074,49.96296296296305,2024-01-07,ON TIME
bemno,369989877229682688,45.40740740740762,2024-01-07,ON TIME
jam4bears,390403088722165762,49.96296296296305,2024-01-07,ON TIME
shamupete,621938294422241301,49.88888888888869,2024-01-07,ON TIME
dinkstar,353332394541187074,50.0,2024-01-07,DURATION
bemno,369989877229682688,50.0,2024-01-07,DURATION
jam4bears,390403088722165762,50.0,2024-01-07,DURATION
shamupete,621938294422241301,50.0,2024-01-07,DURATION
dinkstar,353332394541187074,49.99662322222222,2024-01-08,ON TIME
bemno,369989877229682688,43.67217659259259,2024-01-08,ON TIME
jam4bears,390403088722165762,24.99574737037037,2024-01-08,ON TIME
dinkstar,353332394541187074,50.0,2024-01-08,DURATION
bemno,369989877229682688,50.0,2024-01-08,DURATION
jam4bears,390403088722165762,50.0,2024-01-08,DURATION
Larry's Gym Bot,1191145890925260810,32.220056703703705,2024-01-09,ON TIME
dinkstar,353332394541187074,47.44294377777778,2024-01-09,ON TIME
bemno,369989877229682688,49.98166192592593,2024-01-09,ON TIME
jam4bears,390403088722165762,49.93026644444444,2024-01-09,ON TIME
Larry's Gym Bot,1191145890925260810,2.5909627777777775,2024-01-09,DURATION
dinkstar,353332394541187074,10.857866351851852,2024-01-09,DURATION
bemno,369989877229682688,50.0,2024-01-09,DURATION
jam4bears,390403088722165762,50.0,2024-01-09,DURATION
Larry's Gym Bot,1191145890925260810,5.553575370370375,2024-01-10,ON TIME
dinkstar,353332394541187074,49.99712592592593,2024-01-10,ON TIME
jam4bears,390403088722165762,49.930688851851855,2024-01-10,ON TIME
Larry's Gym Bot,1191145890925260810,0.6448667407407407,2024-01-10,DURATION
dinkstar,353332394541187074,50.0,2024-01-10,DURATION
jam4bears,390403088722165762,50.0,2024-01-10,DURATION
Larry's Gym Bot,1191145890925260810,32.217900666666665,2024-01-11,ON TIME
dinkstar,353332394541187074,49.58169244444444,2024-01-11,ON TIME
Larry's Gym Bot,1191145890925260810,0.6867660555555555,2024-01-11,DURATION
dinkstar,353332394541187074,50.0,2024-01-11,DURATION
Larry's Gym Bot,1191145890925260810,32.21842288888889,2024-01-12,ON TIME
dinkstar,353332394541187074,49.855502888888886,2024-01-12,ON TIME
bemno,369989877229682688,32.45130788888889,2024-01-12,ON TIME
jam4bears,390403088722165762,49.97810725925926,2024-01-12,ON TIME
Larry's Gym Bot,1191145890925260810,0.37440664814814817,2024-01-12,DURATION
dinkstar,353332394541187074,50.0,2024-01-12,DURATION
bemno,369989877229682688,50.0,2024-01-12,DURATION
jam4bears,390403088722165762,50.0,2024-01-12,DURATION
Larry's Gym Bot,1191145890925260810,32.2191654074074,2024-01-13,ON TIME
shmeg.,163854339683647492,44.8549697037037,2024-01-13,ON TIME
shamupete,291432557625606144,49.91800166666667,2024-01-13,ON TIME
dinkstar,353332394541187074,49.970518185185185,2024-01-13,ON TIME
bemno,369989877229682688,45.49541296296296,2024-01-13,ON TIME
Larry's Gym Bot,1191145890925260810,0.7074853703703704,2024-01-13,DURATION
shmeg.,163854339683647492,50.0,2024-01-13,DURATION
shamupete,291432557625606144,50.0,2024-01-13,DURATION
dinkstar,353332394541187074,50.0,2024-01-13,DURATION
bemno,369989877229682688,50.0,2024-01-13,DURATION
Larry's Gym Bot,1191145890925260810,32.2204487037037,2024-01-14,ON TIME
shmeg.,163854339683647492,46.163133074074075,2024-01-14,ON TIME
shamupete,291432557625606144,49.64094107407407,2024-01-14,ON TIME
dinkstar,353332394541187074,41.66720662962963,2024-01-14,ON TIME
bemno,369989877229682688,43.47096492592593,2024-01-14,ON TIME
Larry's Gym Bot,1191145890925260810,1.5509688703703703,2024-01-14,DURATION
shmeg.,163854339683647492,50.0,2024-01-14,DURATION
shamupete,291432557625606144,50.0,2024-01-14,DURATION
dinkstar,353332394541187074,50.0,2024-01-14,DURATION
bemno,369989877229682688,50.0,2024-01-14,DURATION
